FEATURE 6,FEATURE 5,FEATURE 4,FEATURE 1,FEATURE 2,FEATURE 3,Previsao B
3/1/2020,12:06:57,C021K13101,1180227,109B1L,10.06,BOM
3/1/2020,21:19:00,C021K13102,1180227,109B1L,10.052,BOM
4/1/2020,13:34:55,C021K14101,1180227,109B1L,10.04,BOM
4/1/2020,17:30:46,C021K14102,1180227,109B1M,10.027999999999999,BOM
4/1/2020,23:05:04,C021K14103,1180227,109B1M,10.067,BOM
5/1/2020,04:22:18,C021K15101,1180227,109B1M,10.08,BOM
5/1/2020,09:46:24,C021K15102,1180227,109B1M,10.073,BOM
6/1/2020,09:15:37,C021K16103,1180227,109B1L,10.062000000000001,BOM
6/1/2020,12:49:38,C021K16105,1180227,109B1L,10.073,BOM
6/1/2020,16:32:28,C021K16106,1180223,109B1M,10.09,BOM
6/1/2020,19:54:16,C021K16108,1180223/1180227,109B1M,10.061,BOM
6/1/2020,23:27:07,C021K16109,1180227/1180223,109B1L,10.062000000000001,BOM
7/1/2020,04:41:02,C021K17101,1180223,109B1L,10.03,BOM
7/1/2020,07:55:38,C021K17102,1180223,109B1L,10.06,BOM
7/1/2020,11:14:26,C021K17103,1180223,109B1L,10.055,BOM
7/1/2020,15:29:14,C021K17106,1180223,109B1M,10.02,BOM
7/1/2020,20:16:17,C021K17108,1180223,109B1M,10.0,BOM
8/1/2020,00:21:13,C021K18101,1180223,109B1M,9.981,BOM
8/1/2020,05:52:24,C021K18102,1180223,109B1M,9.976,BOM
8/1/2020,09:26:49,C021K18103,1180223,109B1M,10.001,BOM
8/1/2020,14:56:15,C021K18104,1180223,109B1M,10.052999999999999,BOM
8/1/2020,18:40:07,C021K18105,1180223,109B1M,10.061,BOM
8/1/2020,22:58:59,C021K18108,1180223,109B1M,10.055,BOM
9/1/2020,04:25:16,C021K19101,1180223,109B1M,10.056000000000001,BOM
9/1/2020,07:52:24,C021K19102,1180223,109B1M,10.04,BOM
9/1/2020,11:01:07,C021K19103,1180223,109B1M,10.04,BOM
10/1/2020,00:53:45,C021K1A101,1180223,109B1L,10.75,BOM
10/1/2020,18:48:48,C021K1A104,1180223,109B1L,10.032,BOM
11/1/2020,00:31:50,C021K1B101,1180223,109B1L,10.033999999999999,BOM
11/1/2020,05:31:16,C021K1B102,1180223,109B1L,10.04,BOM
11/1/2020,10:29:25,C021K1B106,1180223,109B1L,10.041,BOM
